"id","YCoordinate","XCoordinate","elevation","slope","aspect","region","country","geometry","area","map_class"
"579","11.4289334337424","104.312359414303","49","0.00069206834802806","0.199971327612418","Kâmpóng Spœ","Cambodia","points","1","B"
"56","11.7751940247945","103.325014408334","553","0.0644465899278775","3.05617459805158","Kaôh Kong","Cambodia","points","1","B"
"6","11.8595075745201","103.364945515584","695","0.0936837408838442","3.29014444888251","Kaôh Kong","Cambodia","points","1","B"
"214","12.1264936936913","106.289352020082","59","0.00661823415250178","2.80190413101646","Krâchéh","Cambodia","points","1","B"
"506","12.0805205226587","106.972782166165",NA,NA,NA,"Môndól Kiri","Cambodia","points","1","B"
"92","12.1441242572131","103.352283580751","742","0.072616830867399","3.11127210839543","Pouthisat","Cambodia","points","1","B"
"1000","12.1750520649595","106.765910863949","121","0.00212743761708903","5.48976368879071","Krâchéh","Cambodia","points","1","B"
"4","12.1480211343311","106.924458131596","163","0.0155031308275505","4.34548279049423","Môndól Kiri","Cambodia","points","1","B"
"664","12.3106476993795","106.019720560807","21","0.00177728769051759","5.70893263809361","Krâchéh","Cambodia","points","1","B"
"511","12.4586795235687","102.794917517895","335","0.0749764641218642","1.22439824484466","Batdâmbâng","Cambodia","points","1","B"
"430","12.5224927317287","102.749887990983","255","0.0830274992642858","2.34751830325313","Batdâmbâng","Cambodia","points","1","B"
"651","12.5733720619319","102.699929587004","249","0.0321564403533376","1.57501349328568","Batdâmbâng","Cambodia","points","1","B"
"150","12.5428260556557","102.767890463665","280","0.0410159965490226","2.465627637208","Batdâmbâng","Cambodia","points","1","B"
"908","12.583559737431","106.417799842668","72","0.00217048333637999","3.14159265358979","Môndól Kiri","Cambodia","points","1","B"
"793","12.6098506774792","102.702457344762","255","0.0627850846910991","1.80378214662411","Batdâmbâng","Cambodia","points","1","B"
"336","12.6123187863858","105.575275649931","49","0.01258284238867","4.65846076999538","Kâmpóng Thum","Cambodia","points","1","B"
"971","12.6541637172854","106.591639153152","97","0.0076063453872697","4.65886093241275","Môndól Kiri","Cambodia","points","1","B"
"213","13.1998837291393","105.865195227823","89","0.00869748480733724","2.00546588718923","Stœng Trêng","Cambodia","points","1","B"
"328","13.3839637652543","104.403824093354","39","0.00250791382438756","1.67919011655964","Siemréab","Cambodia","points","1","B"
"370","13.5181550982905","102.561724028578","65","0.00661715157163545","1.03269456574464","Bântéay Méanchey","Cambodia","points","1","B"
"642","13.5934851413921","105.118035674702","46","0.00217048333637999","6.28318530717958","Preah Vihéar","Cambodia","points","1","B"
"515","13.6110558191906","105.196033604972","51","0.00166909003801557","1.98927952348208","Preah Vihéar","Cambodia","points","1","B"
"343","13.9421956169015","104.933468062125","58","0.00156049255149056","3.81391120955787","Preah Vihéar","Cambodia","points","1","B"
"374","13.9550243097658","104.94778836621","57","0.000833068297840555","1.5707963267949","Preah Vihéar","Cambodia","points","1","B"
"535","14.1404739486639","106.750520976358","282","0.0134703274432905","0.667347774874552","Stœng Trêng","Cambodia","points","1","B"
"794","14.2037054743743","107.053896381608","588","0.0793253268302378","0.385411435404237","Rôtânôkiri","Cambodia","points","1","B"
"155","14.2554681448537","106.78252077519","393","0.11513254327464","2.19900313528449","Rôtânôkiri","Cambodia","points","1","B"
"655","14.3417115791154","104.47194761169",NA,NA,NA,"Preah Vihéar","Cambodia","points","1","B"
"226","14.3477974315259","104.554792044673","174",NA,NA,"Preah Vihéar","Cambodia","points","1","B"
"661","14.3916594835881","104.740728283797","159","0.0790198738106155","2.88765274399652","Preah Vihéar","Cambodia","points","1","B"
"782","14.3752682370478","107.202129924983","587","0.0820878567055489","1.97406440997687","Rôtânôkiri","Cambodia","points","1","B"
"480","14.4463717392865","106.535905335354","287","0.0225821606290576","4.99231438122567","Stœng Trêng","Cambodia","points","1","B"
"427","14.4227531775918","106.646875830084","310","0.025049656887257","4.86457694614461","Stœng Trêng","Cambodia","points","1","B"
"98","14.4940419818071","107.288673959985","600","0.0421303775447677","1.99533754651715","Rôtânôkiri","Cambodia","points","1","B"
"902","14.5442908833746","107.456495238145","643",NA,NA,"Rôtânôkiri","Cambodia","points","1","B"
"888","14.6083934781181","107.485497386235","699",NA,NA,"Rôtânôkiri","Cambodia","points","1","B"
"678","10.6244806064315","104.874390728783","44","0.082790765798005","1.12454833726929","Takêv","Cambodia","points","1","Bt"
"394","10.9100867354914","105.304003420592","5","0.000793438790951717","2.59607213521403","Prey Vêng","Cambodia","points","1","Bt"
"348","11.0416222255725","103.792366171898","16","0.0203393909095424","2.0117421062297","Kaôh Kong","Cambodia","points","1","Bt"
"369","11.0362256032794","104.737641989569","11","0.000986384173041407","2.15329436024928","Takêv","Cambodia","points","1","Bt"
"856","11.1731818665834","105.773615138067","3","0.00122859970675588","3.25362033457289","Svay Rieng","Cambodia","points","1","Bt"
"81","11.4035912201661","104.077685780101","119","0.029143349332992","0.891539135692584","Kâmpóng Spœ","Cambodia","points","1","Bt"
"46","11.4825705809998","104.617689235963","29","0.00214782782129411","2.81577360782802","Kâmpóng Spœ","Cambodia","points","1","Bt"
"1026","11.4684039891176","104.793571523892","17","0.000868429985745496","1.88853081837241","Phnom Penh","Cambodia","points","1","Bt"
"172","11.7127640874283","104.716481350983","23","0.000972792770532542","1.71070169780226","Kâmpóng Spœ","Cambodia","points","1","Bt"
"399","11.648754492774","105.13012620034","13","0.00057963308709763","3.93403251944921","Kândal","Cambodia","points","1","Bt"
"720","11.7499020437533","105.006401415588","13","0.000701389490454256","4.90702507369563","Kândal","Cambodia","points","1","Bt"
"1","11.7178640643894","105.371675205276","16","0.000972821543808011","1.43089512100064","Prey Vêng","Cambodia","points","1","Bt"
"72","11.729700714782","105.529622101235","14","0.00328507723129342","3.93418293891699","Prey Vêng","Cambodia","points","1","Bt"
"950","12.2867611968628","105.121850898835","21","0.00362637817974945","4.56219372051231","Kâmpóng Thum","Cambodia","points","1","Bt"
"1023","12.6146354836133","105.467897688444","55","0.00367942675148093","0.741628855860005","Kâmpóng Thum","Cambodia","points","1","Bt"
"75","12.7766010270934","103.638985325059","10","2.16840434497101e-19","1.5707963267949","Pouthisat","Cambodia","points","1","Bt"
"97","12.9706742832064","103.051480039286","18","0.0018481811264332","1.11475660829455","Batdâmbâng","Cambodia","points","1","Bt"
